timestamp,current_mA,power_mW,voltage_V
2026-06-10T00:48:46.961Z,95.61,315.513,3.3
2026-06-10T00:48:47.162Z,98.76,325.908,3.3
2026-06-10T00:48:47.364Z,95.53,315.249,3.3
2026-06-10T00:48:47.564Z,77.3,255.09,3.3
2026-06-10T00:48:47.767Z,54.96,181.368,3.3
2026-06-10T00:48:47.970Z,20.05,66.165,3.3
2026-06-10T00:48:48.170Z,1.61,5.313,3.3
2026-06-10T00:48:48.371Z,0.11,0.363,3.3
2026-06-10T00:48:48.571Z,0.04,0.132,3.3
2026-06-10T00:48:48.774Z,0.01,0.033,3.3
2026-06-10T00:48:48.975Z,0.01,0.033,3.3
2026-06-10T00:48:49.176Z,0.01,0.033,3.3
2026-06-10T00:48:49.377Z,0.01,0.033,3.3
2026-06-10T00:48:49.579Z,0.01,0.033,3.3
2026-06-10T00:48:49.780Z,0.02,0.066,3.3
2026-06-10T00:48:49.982Z,0.01,0.033,3.3
2026-06-10T00:48:50.183Z,0.01,0.033,3.3
2026-06-10T00:48:50.385Z,0.02,0.066,3.3
2026-06-10T00:48:50.587Z,0.02,0.066,3.3
2026-06-10T00:48:50.789Z,0.02,0.066,3.3
2026-06-10T00:48:50.991Z,0.02,0.066,3.3
2026-06-10T00:48:51.193Z,0.02,0.066,3.3
2026-06-10T00:48:51.394Z,0.01,0.033,3.3
2026-06-10T00:48:51.595Z,0.01,0.033,3.3
2026-06-10T00:48:51.796Z,0.01,0.033,3.3
2026-06-10T00:48:51.998Z,0.01,0.033,3.3
2026-06-10T00:48:52.199Z,0.01,0.033,3.3
2026-06-10T00:48:52.401Z,0.01,0.033,3.3
2026-06-10T00:48:52.603Z,0.01,0.033,3.3
2026-06-10T00:48:52.805Z,0.02,0.066,3.3
2026-06-10T00:48:53.006Z,0.02,0.066,3.3
2026-06-10T00:48:53.206Z,0.02,0.066,3.3
2026-06-10T00:48:53.410Z,0.02,0.066,3.3
2026-06-10T00:48:53.609Z,0.02,0.066,3.3
2026-06-10T00:48:53.811Z,0.02,0.066,3.3
2026-06-10T00:48:54.013Z,0.01,0.033,3.3
2026-06-10T00:48:54.213Z,0.01,0.033,3.3
2026-06-10T00:48:54.414Z,0.01,0.033,3.3
2026-06-10T00:48:54.616Z,0.01,0.033,3.3
2026-06-10T00:48:54.818Z,0.01,0.033,3.3
2026-06-10T00:48:55.020Z,0.01,0.033,3.3
2026-06-10T00:48:55.221Z,0.01,0.033,3.3
2026-06-10T00:48:55.422Z,0.01,0.033,3.3
2026-06-10T00:48:55.623Z,0.01,0.033,3.3
2026-06-10T00:48:55.823Z,0.01,0.033,3.3
2026-06-10T00:48:56.025Z,0.01,0.033,3.3
2026-06-10T00:48:56.226Z,0.01,0.033,3.3
2026-06-10T00:48:56.428Z,0.02,0.066,3.3
2026-06-10T00:48:56.629Z,0.02,0.066,3.3
2026-06-10T00:48:56.830Z,0.02,0.066,3.3
2026-06-10T00:48:57.031Z,0.02,0.066,3.3
2026-06-10T00:48:57.232Z,0.02,0.066,3.3
2026-06-10T00:48:57.437Z,0.01,0.033,3.3
2026-06-10T00:48:57.636Z,0.01,0.033,3.3
2026-06-10T00:48:57.839Z,0.01,0.033,3.3
2026-06-10T00:48:58.041Z,0.02,0.066,3.3
2026-06-10T00:48:58.242Z,0.02,0.066,3.3
2026-06-10T00:48:58.445Z,0.02,0.066,3.3
2026-06-10T00:48:58.647Z,0.02,0.066,3.3
2026-06-10T00:48:58.848Z,0.02,0.066,3.3
2026-06-10T00:48:59.049Z,0.01,0.033,3.3
2026-06-10T00:48:59.251Z,0.01,0.033,3.3
2026-06-10T00:48:59.453Z,0.01,0.033,3.3
2026-06-10T00:48:59.654Z,0.02,0.066,3.3
2026-06-10T00:48:59.857Z,0.02,0.066,3.3
2026-06-10T00:49:00.058Z,0.01,0.033,3.3
2026-06-10T00:49:00.260Z,0.02,0.066,3.3
2026-06-10T00:49:00.462Z,0.01,0.033,3.3
2026-06-10T00:49:00.664Z,0.01,0.033,3.3
2026-06-10T00:49:00.865Z,0.01,0.033,3.3
2026-06-10T00:49:01.067Z,0.02,0.066,3.3
2026-06-10T00:49:01.268Z,0.02,0.066,3.3
2026-06-10T00:49:01.470Z,0.02,0.066,3.3
2026-06-10T00:49:01.671Z,0.02,0.066,3.3
2026-06-10T00:49:01.873Z,0.01,0.033,3.3
2026-06-10T00:49:02.073Z,0.01,0.033,3.3
2026-06-10T00:49:02.276Z,0.01,0.033,3.3
2026-06-10T00:49:02.478Z,0.01,0.033,3.3
2026-06-10T00:49:02.677Z,0.01,0.033,3.3
2026-06-10T00:49:02.880Z,0.02,0.066,3.3
2026-06-10T00:49:03.083Z,0.03,0.099,3.3
2026-06-10T00:49:03.284Z,0.02,0.066,3.3
2026-06-10T00:49:03.484Z,0.02,0.066,3.3
2026-06-10T00:49:03.685Z,0.01,0.033,3.3
2026-06-10T00:49:03.886Z,0.01,0.033,3.3
2026-06-10T00:49:04.087Z,0.01,0.033,3.3
2026-06-10T00:49:04.289Z,0.01,0.033,3.3
2026-06-10T00:49:04.490Z,0.01,0.033,3.3
2026-06-10T00:49:04.691Z,0.02,0.066,3.3
2026-06-10T00:49:04.892Z,0.02,0.066,3.3
2026-06-10T00:49:05.094Z,0.02,0.066,3.3
2026-06-10T00:49:05.295Z,0.02,0.066,3.3
2026-06-10T00:49:05.498Z,0.02,0.066,3.3
2026-06-10T00:49:05.698Z,0.01,0.033,3.3
2026-06-10T00:49:05.900Z,0.01,0.033,3.3
2026-06-10T00:49:06.101Z,0.02,0.066,3.3
2026-06-10T00:49:06.302Z,0.02,0.066,3.3
2026-06-10T00:49:06.504Z,0.02,0.066,3.3
2026-06-10T00:49:06.706Z,0.02,0.066,3.3
2026-06-10T00:49:06.907Z,0.01,0.033,3.3
2026-06-10T00:49:07.108Z,0.01,0.033,3.3
2026-06-10T00:49:07.310Z,0.02,0.066,3.3
2026-06-10T00:49:07.512Z,0.02,0.066,3.3
2026-06-10T00:49:07.713Z,0.02,0.066,3.3
2026-06-10T00:49:07.915Z,0.02,0.066,3.3
2026-06-10T00:49:08.118Z,0.01,0.033,3.3
2026-06-10T00:49:08.318Z,0.01,0.033,3.3
2026-06-10T00:49:08.519Z,0.01,0.033,3.3
2026-06-10T00:49:08.720Z,0.01,0.033,3.3
2026-06-10T00:49:08.920Z,0.01,0.033,3.3
2026-06-10T00:49:09.121Z,0.01,0.033,3.3
2026-06-10T00:49:09.323Z,0.01,0.033,3.3
2026-06-10T00:49:09.524Z,0.02,0.066,3.3
2026-06-10T00:49:09.724Z,0.02,0.066,3.3
2026-06-10T00:49:09.925Z,0.02,0.066,3.3
2026-06-10T00:49:10.127Z,0.02,0.066,3.3
2026-06-10T00:49:10.327Z,0.02,0.066,3.3
2026-06-10T00:49:10.529Z,0.02,0.066,3.3
2026-06-10T00:49:10.731Z,0.01,0.033,3.3
2026-06-10T00:49:10.932Z,0.01,0.033,3.3
2026-06-10T00:49:11.134Z,0.02,0.066,3.3
2026-06-10T00:49:11.335Z,0.02,0.066,3.3
2026-06-10T00:49:11.536Z,0.02,0.066,3.3
2026-06-10T00:49:11.737Z,0.02,0.066,3.3
2026-06-10T00:49:11.939Z,0.02,0.066,3.3
2026-06-10T00:49:12.141Z,0.01,0.033,3.3
2026-06-10T00:49:12.342Z,0.02,0.066,3.3
2026-06-10T00:49:12.544Z,0.01,0.033,3.3
2026-06-10T00:49:12.745Z,0.02,0.066,3.3
2026-06-10T00:49:12.946Z,0.02,0.066,3.3
2026-06-10T00:49:13.148Z,0.02,0.066,3.3
2026-06-10T00:49:13.350Z,0.02,0.066,3.3
2026-06-10T00:49:13.550Z,0.01,0.033,3.3
2026-06-10T00:49:13.750Z,0.01,0.033,3.3
2026-06-10T00:49:13.952Z,0.01,0.033,3.3
2026-06-10T00:49:14.155Z,0.01,0.033,3.3
2026-06-10T00:49:14.357Z,0.01,0.033,3.3
2026-06-10T00:49:14.559Z,0.02,0.066,3.3
2026-06-10T00:49:14.761Z,0.02,0.066,3.3
2026-06-10T00:49:14.963Z,0.02,0.066,3.3
2026-06-10T00:49:15.165Z,0.02,0.066,3.3
2026-06-10T00:49:15.367Z,0.02,0.066,3.3
2026-06-10T00:49:15.567Z,0.02,0.066,3.3
2026-06-10T00:49:15.770Z,0.02,0.066,3.3
